Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
E	114816800	0.0	ST	SEALING LEDGE 5,5X15X160LG	0.0
E	116904600	50.0	KG	COLOUR FOR BOARD MARKING QUAL.NR.7100-93	0.0
E	116980600	1.0	ST	DIGITAL IN/OUTPUT 6ES7 323-1BL00-0AA0	0.0
E	118550401	0.0	ST	RADIAL BALL BEARING 95X120X13	0.0
E	118550500	10.0	ST	O-RING 90,00X2,00	0.0
E	119826410	1.0	ST	STEAM HOSE 1"X350MM	4.0
E	119956100	1.0	ST	STEAM HOSE 3/4" X 4850MM	0.0
E	119957860	1.0	ST	STEAM HOSE 1"X875MM -5/+10	3.0
E	119958260	1.0	ST	STEAM HOSE 1 1/4"X930MM	5.0
E	119962001	1.0	ST	DYNAMOMETRIC TRANSDUCER D46X28/50KN	0.0
E	121010680	1.0	ST	ROTARY STEAM JOINT	3.0
E	121072003	1.0	ST	STEAM HOSE 1/2" X 4850MM	0.0
E	122560400	1.0	ST	STEAM TRAP DN 25; PN 40	0.0
E	122560402	0.0	ST	SET OF SPARE PARTS	0.0
E	122745003	1.0	ST	TOOTHED BELT HTD 25X 5X 375	0.0
E	122745004	1.0	ST	TOOTHED BELT 30X 5X 565	0.0
E	123052310	32.0	ST	NO-CRUSH-ROLLER 165X65X50	32.0
E	123052320	22.0	ST	NO-CRUSH-ROLLER 165X65X50	76.0
E	123428001	21.0	ST	ROLL 125/95X70	109.0
E	123454800	1.0	ST	TOOTHED BELT 21X 8X 800	0.0
E	124133400	2.0	ST	FLAT PACKING 21 X 30  X 2	2.0
E	125523800	1.0	ST	TOOTHED BELT 50X10X 810	0.0
E	126292402	16.0	ST	BRUSH ROLL SEGMENT 300X203X216MM	72.0
E	127465400	1.0	ST	LIMIT SWITCH 2Ö/1S	0.0
E	127811020	1.0	ST	MODULE PROFI BUS IM151	0.0
E	127811032	1.0	ST	MODULE 2*6 KLEMMEN	0.0
E	127811040	1.0	ST	SUB-RACK S7/ET200S/DE-DA-AO-AI	0.0
E	127811041	2.0	ST	ANALOG INPUT/OUTPUT 2AI	1.0
E	127811042	1.0	ST	ANALOG INPUT/OUTPUT S7/ET200S/2*AA/+-10V	0.0
E	127811043	1.0	ST	ANALOG INPUT/OUTPUT S7/ET200S/2*AI/4DMU	0.0
E	127811050	2.0	ST	MODULE S7/ET200S/4DI DC24V	2.0
E	127811052	1.0	ST	DIGITAL IN/OUTPUT	0.0
E	127811060	1.0	ST	MODULE S7/ET200S/4DO DC24V/0,5A	0.0
E	127811062	1.0	ST	DIGITAL IN/OUTPUT	0.0
E	129605200	1.0	ST	DIGITAL IN/OUTPUT DO16	0.0
