Order_Form_ID	Customer_Name	Article_Number	Article_Name	Invoice_Date	PickAndPay	Revenue	Calendar_week	Amount
ac44650ddbc0675f6b56de06aff25d44	C	106606921	CLEAN-OUT FINGER BL1.0X98X90LG	2018-12-28	1	519.39	52	8.0
ac44650ddbc0675f6b56de06aff25d44	C	107254200	FELT 60X45MMX10	2018-12-28	1	313.83	52	14.0
ac44650ddbc0675f6b56de06aff25d44	C	106885100	RADIAL SHAFT SEAL 188X225X15	2018-12-28	1	1775.26	52	1.0
ac44650ddbc0675f6b56de06aff25d44	C	104212300	O-RING 240,00X5,00	2018-12-28	1	118.99	52	1.0
ac44650ddbc0675f6b56de06aff25d44	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2018-12-28	1	19154.12	52	4.0
53a45e7325b8912391a062d70b726b0c	C	P030FR001	FREIGHT CHARGES	2019-01-11	1	1350.68	2	1.0
53a45e7325b8912391a062d70b726b0c	C	P030PA001	PACKING	2019-01-11	1	197.86	2	1.0
2215ac13944a6ce0012ca46509c86030	C	119761650	BEARINGS AND ACCESSORIES	2019-02-01	0	16138.93	5	1.0
2215ac13944a6ce0012ca46509c86030	C	115975800	BEARINGS AND ACCESSORIES	2019-02-01	0	15903.42	5	1.0
2215ac13944a6ce0012ca46509c86030	C	110991002	PACKING CHARGES (CARTON) 300X300X200	2019-02-01	0	197.86	5	1.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	106606930	CLEAN-OUT FINGER 1,0X98X81.5	2019-02-06	1	24.73	6	16.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	105406902	GRINDING WHEEL 50X10X16	2019-02-06	1	2.47	6	2.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	107254200	FELT 60X45MMX10	2019-02-06	1	5.77	6	28.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	123052320	NO-CRUSH-ROLLER 165X65X50	2019-02-06	1	469.37	6	17.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2019-02-06	1	52.21	6	1.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	118027801	PRESSURE BELT I-QUALITY 2540X 2800	2019-02-06	1	2030.56	6	1.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	V00000015	PACKING CHARGES (BOX) 3130X410X310MM	2019-02-06	1	2473.27	6	1.0
1d7c5924cac6da5c78dfa4cbf8028e29	C	110991004	PACKING CHARGES (CARTON) 610X410X230	2019-02-06	1	197.86	6	1.0
1a4324ec64fbd0e517c165deb96e5603	C	106606930	CLEAN-OUT FINGER 1,0X98X81.5	2019-02-06	1	3550.52	6	16.0
1a4324ec64fbd0e517c165deb96e5603	C	105406902	GRINDING WHEEL 50X10X16	2019-02-06	1	2335.87	6	2.0
1a4324ec64fbd0e517c165deb96e5603	C	107254200	FELT 60X45MMX10	2019-02-06	1	627.94	6	28.0
1a4324ec64fbd0e517c165deb96e5603	C	123052320	NO-CRUSH-ROLLER 165X65X50	2019-02-06	1	8378.62	6	17.0
1a4324ec64fbd0e517c165deb96e5603	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2019-02-06	1	4788.53	6	1.0
1a4324ec64fbd0e517c165deb96e5603	C	118027801	PRESSURE BELT I-QUALITY 2540X 2800	2019-02-06	1	183435.75	6	1.0
9e7761abb8b192aa71d48a6a2a067b83	C	135620122	CARBON BRUSH	2019-02-18	0	15955.63	8	12.0
9e7761abb8b192aa71d48a6a2a067b83	C	110991001	PACKING CHARGES (CARTON) 200X200X150	2019-02-18	0	197.86	8	1.0
bdd95831bb77fab11f4e725e7052c87c	C	171596	TACHOGENERATOR 60V/1000UPM/56KW	2019-02-25	0	21748.58	9	1.0
bdd95831bb77fab11f4e725e7052c87c	C	110991001	PACKING CHARGES (CARTON) 200X200X150	2019-02-25	0	197.86	9	1.0
dbfad6d4beaf7b2a66caceda973a8ad5	C	143334725	HOT PLATE AB-2500	2019-02-28	0	235886.99	9	1.0
dbfad6d4beaf7b2a66caceda973a8ad5	C	109420500	ADJUSTING SCREW	2019-02-28	0	5556.07	9	1.0
dbfad6d4beaf7b2a66caceda973a8ad5	C	V00000024	PACKING CHARGES (BOX)	2019-02-28	0	12366.36	9	1.0
dbfad6d4beaf7b2a66caceda973a8ad5	C	110991001	PACKING CHARGES (CARTON) 200X200X150	2019-02-28	0	197.86	9	1.0
dd6a5bddb0987c5b78a622fb2e384f51	C	105406902	GRINDING WHEEL 50X10X16	2019-03-13	1	7007.61	11	6.0
dd6a5bddb0987c5b78a622fb2e384f51	C	111125301	GLUE DAM JOINT 3X260X220	2019-03-13	1	3130.06	11	2.0
dd6a5bddb0987c5b78a622fb2e384f51	C	107254200	FELT 60X45MMX10	2019-03-13	1	313.83	11	14.0
dd6a5bddb0987c5b78a622fb2e384f51	C	111125199	GLUE DAM JOINT 3X128X197	2019-03-13	1	1424.88	11	1.0
dd6a5bddb0987c5b78a622fb2e384f51	C	111125198	GLUE DAM JOINT 3X128X197	2019-03-13	1	1424.88	11	1.0
dd6a5bddb0987c5b78a622fb2e384f51	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2019-03-13	1	14365.59	11	3.0
dd6a5bddb0987c5b78a622fb2e384f51	C	163270925	SCRAPER BLADE CORRUDUR® 2550X50X1,5	2019-03-13	1	1331.45	11	1.0
824e8e937c692f7e3c2f8e59671743da	C	110031420	HYDRAULIC CYLINDER 40X380-R1/4"	2019-03-18	0	50845.26	12	2.0
824e8e937c692f7e3c2f8e59671743da	C	171596.01	CARBON BRUSH	2019-03-18	0	446.84	12	1.0
824e8e937c692f7e3c2f8e59671743da	C	110991006	PACKING CHARGES (CARTON) 700X200X200	2019-03-18	0	197.86	12	1.0
6760744fe1cbe438043782d45e4a9541	C	105406902	GRINDING WHEEL 50X10X16	2019-03-21	1	88.21	12	6.0
6760744fe1cbe438043782d45e4a9541	C	111125301	GLUE DAM JOINT 3X260X220	2019-03-21	1	742.26	12	2.0
6760744fe1cbe438043782d45e4a9541	C	107254200	FELT 60X45MMX10	2019-03-21	1	34.08	12	14.0
6760744fe1cbe438043782d45e4a9541	C	111125199	GLUE DAM JOINT 3X128X197	2019-03-21	1	117.34	12	1.0
6760744fe1cbe438043782d45e4a9541	C	111125198	GLUE DAM JOINT 3X128X197	2019-03-21	1	131.63	12	1.0
6760744fe1cbe438043782d45e4a9541	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2019-03-21	1	1870.62	12	3.0
6760744fe1cbe438043782d45e4a9541	C	163270925	SCRAPER BLADE CORRUDUR® 2550X50X1,5	2019-03-21	1	214.08	12	1.0
