Order_Form_ID;Customer_Name;Article_Number;Article_Name;Invoice_Date;PickAndPay;Revenue;Calendar_week;Amount
b6bf0bf45a2aa2c23b7afc2ad9ced0a7;A;851045555;MODIFICATION PARTS;2019-01-21;0;67234.26;4;1.0
b6bf0bf45a2aa2c23b7afc2ad9ced0a7;A;107775901;HOLDING DEVICE 169X87X10X140;2019-01-21;0;6229.35;4;1.0
b6bf0bf45a2aa2c23b7afc2ad9ced0a7;A;107808000;LINEAR BALL BEARING D=20 L=54;2019-01-21;0;4092.72;4;1.0
b6bf0bf45a2aa2c23b7afc2ad9ced0a7;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2019-01-21;0;197.86;4;1.0
11e2a57964407c0278a9a5d9136754ee;A;109888055;KNIFE 2540X30X8 AB2500;2019-01-24;1;141126.58;4;2.0
10e57fdd2910f739c12a3e7b4827fdb9;A;108079901;CLAMPING ELEMENT;2019-01-31;0;7938.11;5;4.0
10e57fdd2910f739c12a3e7b4827fdb9;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2019-01-31;0;197.86;5;1.0
dd7caa25105c27ed9a2f48e396e0e21e;A;171651550;"GEAR MOTOR 2,4KW; I=41,472";2019-02-01;0;54919.29;5;1.0
dd7caa25105c27ed9a2f48e396e0e21e;A;171603001;"CHAIN WHEEL T1""X17,02, Z=13";2019-02-01;0;3986.64;5;1.0
dd7caa25105c27ed9a2f48e396e0e21e;A;130514900;HEXAGONAL SCREW M16X35;2019-02-01;0;42.6;5;1.0
dd7caa25105c27ed9a2f48e396e0e21e;A;V00000024;PACKING CHARGES (BOX);2019-02-01;0;1566.41;5;1.0
4ef0fe00111dee288fb2957b8b4c086d;A;851017038;MOTOR VALVE DN40-PN25 230V 50/60 HZ;2019-02-01;0;80468.75;5;1.0
4ef0fe00111dee288fb2957b8b4c086d;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2019-02-01;0;1126.71;5;1.0
5cabce0328068c33e02d0a20acbf3b19;A;144296505;CLEAN SPRAY H1 EASY CORRUCLEAN® - 400 ML;2019-02-06;0;2590.07;6;4.0
5cabce0328068c33e02d0a20acbf3b19;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2019-02-06;0;197.86;6;1.0
dfeca245b46846113855cc430e68f0df;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2019-02-08;1;115262.74;6;22.0
dfeca245b46846113855cc430e68f0df;A;105406991;GRINDING WHEEL 50X11X19MM;2019-02-08;1;10304.75;6;8.0
dfeca245b46846113855cc430e68f0df;A;144934001;EXPANDED RUBBER DISK D 335 MM;2019-02-08;1;38361.28;6;19.0
dfeca245b46846113855cc430e68f0df;A;109612502;SEALING LEDGE 5,5X65X2665;2019-02-08;1;1226.74;6;1.0
dfeca245b46846113855cc430e68f0df;A;130241404;TOOTHED BELT ATP 50X10X1150;2019-02-08;1;2325.7;6;1.0
7220ad8031199b376423f04256671ff8;A;155448002;BHS-ACTIVE DECALCER 2,5L;2019-02-11;0;7057.9;7;4.0
7220ad8031199b376423f04256671ff8;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2019-02-11;0;197.86;7;1.0
c87d4a557d419b45fc01890b799641e6;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2019-02-13;1;2931.1;7;22.0
c87d4a557d419b45fc01890b799641e6;A;105406991;GRINDING WHEEL 50X11X19MM;2019-02-13;1;41.22;7;8.0
c87d4a557d419b45fc01890b799641e6;A;144934001;EXPANDED RUBBER DISK D 335 MM;2019-02-13;1;707.91;7;19.0
c87d4a557d419b45fc01890b799641e6;A;109612502;SEALING LEDGE 5,5X65X2665;2019-02-13;1;64.58;7;1.0
c87d4a557d419b45fc01890b799641e6;A;130241404;TOOTHED BELT ATP 50X10X1150;2019-02-13;1;43.97;7;1.0
c87d4a557d419b45fc01890b799641e6;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2019-02-13;1;1126.71;7;1.0
c87d4a557d419b45fc01890b799641e6;A;110991003;PACKING CHARGES (CARTON) 360X360X250;2019-02-13;1;197.86;7;1.0
1af997c544b703d255d760495c9d6448;A;109888055;KNIFE 2540X30X8 AB2500;2019-02-13;1;141126.58;7;2.0
636783c6d03112426787a67a09628eff;A;295324020;CONVERTER 1XELEKTRONIK 2XSENSOR;2019-02-19;0;111176.62;8;1.0
636783c6d03112426787a67a09628eff;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2019-02-19;0;197.86;8;1.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;135175;RADIAL BALL BEARING 17X47X14;2019-02-20;0;484.21;8;2.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;117235;HEXAGONAL SCREW M8X20;2019-02-20;0;197.31;8;8.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;101702501;BOLT 70X50;2019-02-20;0;6565.99;8;2.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;120725;COUNTERSUNK SCREW M6X16;2019-02-20;0;41.77;8;2.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;107461700;SHIM 32/ 6,4X4;2019-02-20;0;286.9;8;2.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;101702401;DISK 25X9;2019-02-20;0;1090.99;8;2.0
9f6cec8b5ae3e1b835ac8e259371fcaa;A;110991001;PACKING CHARGES (CARTON) 200X200X150;2019-02-20;0;197.86;8;1.0
25f6d44fff0b863b2c8fb99f99b15685;A;119517715;SERVO CONTROLLER 10A/380V-480V/6,9KW;2019-03-05;0;47227.69;10;1.0
25f6d44fff0b863b2c8fb99f99b15685;A;155470300;EMERGENCY STOP MODULE 2I/2Q;2019-03-05;0;7017.77;10;1.0
25f6d44fff0b863b2c8fb99f99b15685;A;110991004;PACKING CHARGES (CARTON) 610X410X230;2019-03-05;0;197.86;10;1.0
2aa7a29fa8ad768a772e13f18a82128c;A;119517715;SERVO CONTROLLER 10A/380V-480V/6,9KW;2019-03-05;1;45747.3;10;1.0
2aa7a29fa8ad768a772e13f18a82128c;A;155470300;EMERGENCY STOP MODULE 2I/2Q;2019-03-05;1;6874.87;10;1.0
5dd55b67e1640027ba01c6dc1c6d1893;A;109888055;KNIFE 2540X30X8 AB2500;2019-03-06;1;1977.79;10;2.0
5dd55b67e1640027ba01c6dc1c6d1893;A;177592300;PLATE SPRING 8,4X15X2;2019-03-06;1;46.17;10;88.0
5dd55b67e1640027ba01c6dc1c6d1893;A;100441800;SUPPORTING PLATE S 10X16X1,2;2019-03-06;1;23.08;10;88.0
5dd55b67e1640027ba01c6dc1c6d1893;A;191757200;LENS HEAD SCREW M8X16;2019-03-06;1;18.96;10;8.0
5dd55b67e1640027ba01c6dc1c6d1893;A;177671310;ADHESIVE LABEL;2019-03-06;1;0.55;10;2.0
5dd55b67e1640027ba01c6dc1c6d1893;A;191757201;LENS HEAD SCREW M8X25;2019-03-06;1;254.47;10;88.0
5dd55b67e1640027ba01c6dc1c6d1893;A;173687700;TORX SOCKET GR.TX40 1/2-ZOLL;2019-03-06;1;18.14;10;1.0
5dd55b67e1640027ba01c6dc1c6d1893;A;V00000007;PACKING CHARGES (BOX) 2670X100X110MM;2019-03-06;1;1374.04;10;1.0
b4a73f356165fa97a2384a5e3d43eac6;A;119517715;SERVO CONTROLLER 10A/380V-480V/6,9KW;2019-03-07;1;1412.24;10;1.0
b4a73f356165fa97a2384a5e3d43eac6;A;155470300;EMERGENCY STOP MODULE 2I/2Q;2019-03-07;1;136.03;10;1.0
b4a73f356165fa97a2384a5e3d43eac6;A;110991004;PACKING CHARGES (CARTON) 610X410X230;2019-03-07;1;197.86;10;1.0
be659b6bc1dc908b8a400eea689e2f9c;A;106606921;CLEAN-OUT FINGER BL1.0X98X90LG;2019-03-07;1;10799.41;10;152.0
be659b6bc1dc908b8a400eea689e2f9c;A;155470321;EMERGENCY STOP MODULE 24 VDC 3Q;2019-03-07;1;13749.75;10;2.0
0c5966a184daf8cab8f47edd37b92bfc;A;851035004;THREE PHASE A.C. SERVOMOTOR 125A/60KW/11;2019-03-10;0;-247137.64;10;-1.0
7b652785278525a5b687b5d40f8f057b;A;106606921;CLEAN-OUT FINGER BL1.0X98X90LG;2019-03-11;1;1280.61;11;152.0
7b652785278525a5b687b5d40f8f057b;A;155470321;EMERGENCY STOP MODULE 24 VDC 3Q;2019-03-11;1;113.77;11;2.0
7b652785278525a5b687b5d40f8f057b;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2019-03-11;1;197.86;11;1.0
45f5bf42b16a33b9c8b0bd45d47eec48;A;102955404;BRUSH 1,0X300X510;2019-03-12;1;2241.61;11;10.0
45f5bf42b16a33b9c8b0bd45d47eec48;A;110991004;PACKING CHARGES (CARTON) 610X410X230;2019-03-12;1;197.86;11;1.0
db32559af61379a3fcb957d4e583b97e;A;102955404;BRUSH 1,0X300X510;2019-03-12;0;17398.65;11;6.0
db32559af61379a3fcb957d4e583b97e;A;110991004;PACKING CHARGES (CARTON) 610X410X230;2019-03-12;0;197.86;11;1.0
88ded316f95c5be0a6d1e3e2318b4af0;A;102955404;BRUSH 1,0X300X510;2019-03-12;1;26068.29;11;10.0
f903dbc0b3ae60764a653fa5b3923cca;A;149777700;ROLLER BLIND AB 2500;2019-03-13;0;42880.23;11;1.0
f903dbc0b3ae60764a653fa5b3923cca;A;V00000001;PACKING CHARGES (BOX) 3100X140X230MM;2019-03-13;0;1923.66;11;1.0
f903dbc0b3ae60764a653fa5b3923cca;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2019-03-13;0;197.86;11;1.0
3fa3ee3c88a30d4beb57d24d021f4680;A;246165850;ROLL RO.45X6X820LG;2019-03-20;0;24564.82;12;3.0
3fa3ee3c88a30d4beb57d24d021f4680;A;104227700;RADIAL BALL BEARING 20X37X9;2019-03-20;0;1695.57;12;6.0
3fa3ee3c88a30d4beb57d24d021f4680;A;138010;SEEGER CIRCLIP RING 20X1,2;2019-03-20;0;115.97;12;6.0
3fa3ee3c88a30d4beb57d24d021f4680;A;124265410;SHAFT RD 30X860;2019-03-20;0;15537.92;12;3.0
3fa3ee3c88a30d4beb57d24d021f4680;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2019-03-20;0;1126.71;12;1.0
7556295c42dabd67b89c8a9f39687d8f;A;198302400;RADIAL SHAFT SEAL A 80,0X100X10;2019-03-20;0;517.74;12;2.0
7556295c42dabd67b89c8a9f39687d8f;A;198305600;RADIAL SHAFT SEAL A 110,0X140X12;2019-03-20;0;1244.33;12;2.0
7556295c42dabd67b89c8a9f39687d8f;A;135309;RADIAL ANGULAR BALL BEARING 90X160X52,4;2019-03-20;0;11476.81;12;2.0
7556295c42dabd67b89c8a9f39687d8f;A;198301500;GROOVED BALL BEARING 80X140X26;2019-03-20;0;4404.07;12;2.0
7556295c42dabd67b89c8a9f39687d8f;A;104581529;SEALING RING 60X  50X  7;2019-03-20;0;12617.54;12;16.0
7556295c42dabd67b89c8a9f39687d8f;A;104581528;SPRING;2019-03-20;0;4296.07;12;16.0
7556295c42dabd67b89c8a9f39687d8f;A;104581513;O-RING 10X2;2019-03-20;0;2742.31;12;16.0
7556295c42dabd67b89c8a9f39687d8f;A;104581595;BRAKE LINING CORRUDUR® 64X5X10;2019-03-20;0;9579.26;12;16.0
7556295c42dabd67b89c8a9f39687d8f;A;121606100;RETURN SPRING;2019-03-20;0;541.92;12;2.0
7556295c42dabd67b89c8a9f39687d8f;A;121606101;RETURN SPRING;2019-03-20;0;541.92;12;2.0
7556295c42dabd67b89c8a9f39687d8f;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2019-03-20;0;197.86;12;1.0
10650bdf615ba5521d59de33d3c2e171;A;188840001;SERVO CONTROLLER 9,3A 4KW;2019-04-02;0;40574.04;14;1.0
10650bdf615ba5521d59de33d3c2e171;A;110991004;PACKING CHARGES (CARTON) 610X410X230;2019-04-02;0;197.86;14;1.0
3aa5c810648a96ca50cbd90ac8c98f3a;A;107808000;LINEAR BALL BEARING D=20 L=54;2019-04-03;0;32651.87;14;8.0
3aa5c810648a96ca50cbd90ac8c98f3a;A;110655600;ADJUSTING NUT 50X40;2019-04-03;0;13672.53;14;2.0
3aa5c810648a96ca50cbd90ac8c98f3a;A;108508399;PRESSURE SHOE, COMPLETE;2019-04-03;0;30536.67;14;32.0
3aa5c810648a96ca50cbd90ac8c98f3a;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2019-04-03;0;197.86;14;1.0
b816c15f5a3f440be6ddaab4ccd82b21;A;851061487;PERFLU H1 HIGH TEMP 25KG;2019-04-11;0;120216.16;15;25.0
b816c15f5a3f440be6ddaab4ccd82b21;A;182532;BACOMIN V95 POWER 400ML;2019-04-11;0;5098.51;15;5.0
b816c15f5a3f440be6ddaab4ccd82b21;A;111742500;BACOMIN V42-50 UNIVERSAL CORRULUB®;2019-04-11;0;76423.57;15;25.0
b816c15f5a3f440be6ddaab4ccd82b21;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2019-04-11;0;1126.71;15;1.0
db7baea5c79abe62cd9ff6001904d27a;A;197617200;PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM;2019-04-12;1;2709.06;15;1.0
db7baea5c79abe62cd9ff6001904d27a;A;139531;"STEAM HOSE 3/4"" X450";2019-04-12;1;1431.2;15;1.0
db7baea5c79abe62cd9ff6001904d27a;A;121067160;"STEAM HOSE 3/4""X930MM";2019-04-12;1;3910.24;15;1.0
db7baea5c79abe62cd9ff6001904d27a;A;158530220;TOOTHED BELT HTD 15X 3X 645;2019-04-12;1;275.91;15;1.0
db7baea5c79abe62cd9ff6001904d27a;A;119517715;SERVO CONTROLLER 10A/380V-480V/6,9KW;2019-04-12;1;47025.16;15;1.0
db7baea5c79abe62cd9ff6001904d27a;A;111125303;GLUE DAM JOINT 3X260X220;2019-04-12;1;11040.69;15;4.0
db7baea5c79abe62cd9ff6001904d27a;A;111125198;GLUE DAM JOINT 3X128X197;2019-04-12;1;3220.2;15;2.0
db7baea5c79abe62cd9ff6001904d27a;A;111125199;GLUE DAM JOINT 3X128X197;2019-04-12;1;3220.2;15;2.0
f775660b0f79165df8ce5b08fabc0332;A;197617200;PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM;2019-04-16;1;3.85;16;1.0
f775660b0f79165df8ce5b08fabc0332;A;139531;"STEAM HOSE 3/4"" X450";2019-04-16;1;118.99;16;1.0
f775660b0f79165df8ce5b08fabc0332;A;121067160;"STEAM HOSE 3/4""X930MM";2019-04-16;1;167.36;16;1.0
f775660b0f79165df8ce5b08fabc0332;A;158530220;TOOTHED BELT HTD 15X 3X 645;2019-04-16;1;4.95;16;1.0
f775660b0f79165df8ce5b08fabc0332;A;119517715;SERVO CONTROLLER 10A/380V-480V/6,9KW;2019-04-16;1;780.45;16;1.0
f775660b0f79165df8ce5b08fabc0332;A;111125303;GLUE DAM JOINT 3X260X220;2019-04-16;1;449.59;16;4.0
f775660b0f79165df8ce5b08fabc0332;A;111125198;GLUE DAM JOINT 3X128X197;2019-04-16;1;79.97;16;2.0
f775660b0f79165df8ce5b08fabc0332;A;111125199;GLUE DAM JOINT 3X128X197;2019-04-16;1;71.45;16;2.0
f775660b0f79165df8ce5b08fabc0332;A;110991004;PACKING CHARGES (CARTON) 610X410X230;2019-04-16;1;203.36;16;1.0
4d6dc3f3adcf1c2bd8725880a5d8ffa2;A;155470310;EMERGENCY STOP MODULE 8I/24 VDC;2019-04-16;1;498.5;16;2.0
4d6dc3f3adcf1c2bd8725880a5d8ffa2;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2019-04-16;1;203.36;16;1.0
d59ce6998c5b2851b470cea05e0c5fdd;A;197617200;PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM;2019-04-16;0;2713.18;16;1.0
d59ce6998c5b2851b470cea05e0c5fdd;A;139531;"STEAM HOSE 3/4"" X450";2019-04-16;0;7822.69;16;5.0
d59ce6998c5b2851b470cea05e0c5fdd;A;121067160;"STEAM HOSE 3/4""X930MM";2019-04-16;0;20487.22;16;5.0
d59ce6998c5b2851b470cea05e0c5fdd;A;158530220;TOOTHED BELT HTD 15X 3X 645;2019-04-16;0;281.4;16;1.0
d59ce6998c5b2851b470cea05e0c5fdd;A;102955400;BRUSH 1X300X1300;2019-04-16;0;9458.07;16;1.0
d59ce6998c5b2851b470cea05e0c5fdd;A;120606;WOOD SCREW 8 X 25;2019-04-16;0;21.71;16;1.0
d59ce6998c5b2851b470cea05e0c5fdd;A;108508399;PRESSURE SHOE, COMPLETE;2019-04-16;0;32596.91;16;33.0
d59ce6998c5b2851b470cea05e0c5fdd;A;124280700;LAMP 24VDC;2019-04-16;0;4496.13;16;1.0
d59ce6998c5b2851b470cea05e0c5fdd;A;V00000005;PACKING CHARGES (BOX) 1540X540X340MM;2019-04-16;0;2748.08;16;1.0
1a19e97d1fd68b9ce9b13ee0d343cbeb;A;155470310;EMERGENCY STOP MODULE 8I/24 VDC;2019-04-16;1;10989.57;16;2.0
9ad871aa303d9bdf604f383d615f36e4;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2019-04-25;1;97066.05;17;18.0
9ad871aa303d9bdf604f383d615f36e4;A;105406991;GRINDING WHEEL 50X11X19MM;2019-04-25;1;13289.72;17;10.0
d03d8fbc425686b4f579310131f4cc22;A;131139501;HOSE REEL ID 9.6;2019-04-29;0;30733.16;18;1.0
d03d8fbc425686b4f579310131f4cc22;A;179013900;BLADE TYPE DRIVE M 5 - 2.471NM;2019-04-29;0;9821.91;18;2.0
d03d8fbc425686b4f579310131f4cc22;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2019-04-29;0;1154.19;18;1.0
433f271325a95ff34b5ba84b54572f93;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2019-04-30;1;2243.53;18;18.0
433f271325a95ff34b5ba84b54572f93;A;105406991;GRINDING WHEEL 50X11X19MM;2019-04-30;1;48.37;18;10.0
433f271325a95ff34b5ba84b54572f93;A;110991003;PACKING CHARGES (CARTON) 360X360X250;2019-04-30;1;203.36;18;1.0
