Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
A	161334200	1.0	ST	MODULE 1/20/500V 24VDC	0.0
A	161790600	2.0	ST	BELLOWS D35/D84X207,3	0.0
A	162372800	2.0	ST	EMERGENCY STOP MODULE 24VDC 5S/1Ö	0.0
A	163270925	4.0	ST	SCRAPER BLADE CORRUDUR® 2550X50X1,5	3.0
A	163467601	3.0	M	PROFILE FOR METAL CLAMPING 1-3 MM	0.0
A	163600425	4.0	ST	SCRAPER BLADE 2560X50X1,5	1.0
A	163600451	2.0	ST	SCRAPER BLADE 2560X50X1,5	2.0
A	163764801	1.0	ST	LIGHT BARRIER 10-30V DC	0.0
A	166666620	1.0	ST	CONVERTER LVX PNI	0.0
A	172821501	1.0	ST	LIGHT BARRIER 24V SENDER	0.0
A	173687700	8.0	ST	TORX SOCKET GR.TX40 1/2-ZOLL	11.0
A	177592300	690.0	ST	PLATE SPRING 8,4X15X2	964.0
A	177671310	12.0	ST	ADHESIVE LABEL	28.0
A	178188400	1.0	ST	LIGHT BARRIER 24 VDC	0.0
A	178188401	1.0	ST	LIGHT BARRIER 24 VDC	1.0
A	179080600	1.0	ST	TOOTHED BELT 4550X50  KL3600	0.0
A	181318800	1.0	ST	SEALING RING D99X2	0.0
A	182384600	2.0	ST	TOOTHED BELT 50 AT10/2000	0.0
A	182602000	50.0	M	NAP FOIL 50 MM BR/25 M	0.0
A	184697005	2.0	ST	CONTROL BLOCK	0.0
A	189331801	1.0	ST	GEAR WITH LIMIT SWITCHES 24 VDC	0.0
A	191757200	70.0	ST	LENS HEAD SCREW M8X16	82.0
A	191757201	600.0	ST	LENS HEAD SCREW M8X25	1054.0
A	192468000	3.0	ST	PROXIMITY SWITCH E2A-M18LS08-M1-B1	0.0
A	193628800	1.0	ST	LIGHT BARRIER 10-30V DC	0.0
A	193628801	1.0	ST	LIGHT BARRIER 10-30V DC	0.0
A	194858404	2.0	ST	FREQUENCY CONTROLLER 320-550V/9,5A/45-65	0.0
A	194858405	1.0	ST	FREQUENCY CONTROLLER 320-550V/13A/45-65H	0.0
A	194858411	1.0	ST	FREQUENCY CONTROLLER 320-550V/23,5A/45-6	0.0
A	194858413	1.0	ST	FREQUENCY CONTROLLER 320-550V/5,8A/45-65	0.0
A	194858415	1.0	ST	FREQUENCY CONTROLLER 11.7A/320-550V/45-6	0.0
A	194858417	1.0	ST	FREQUENCY CONTROLLER 320-550V/16,5A/45-6	0.0
